Password: t0p
124752 different permutations
Time took: 0:00:16.271827(hh:mm:ss)

Password: 666
1343 different permutations
Time took: 0:00:00.056003(hh:mm:ss)

Password: tr1
61010 different permutations
Time took: 0:00:07.711749(hh:mm:ss)

Password: ben1
1268821 different permutations
Time took: 0:02:58.762257(hh:mm:ss)

Password: bd97
471365 different permutations
Time took: 0:01:06.063987(hh:mm:ss)

Password: ben
98599 different permutations
Time took: 0:00:14.056785(hh:mm:ss)

Password: cat
75287 different permutations
Time took: 0:00:09.981193(hh:mm:ss)

Password: cat
16423 different permutations
Time took: 0:00:01.989601(hh:mm:ss)

Password: ben
285 different permutations
Time took: 0:00:04.324952(hh:mm:ss)

Password: 190
14074 different permutations
Time took: 0:00:07.225766(hh:mm:ss)

Password: cat
3556 different permutations
Time took: 0:00:04.932232(hh:mm:ss)

Password: doo
284045 different permutations
Time took: 0:00:41.962080(hh:mm:ss)

Password: cat
25935 different permutations
Time took: 0:00:04.814944(hh:mm:ss)

Password: ben
42733 different permutations
Time took: 0:00:16.769410(hh:mm:ss)

Password: ben
78975 different permutations
Time took: 0:00:26.925188(hh:mm:ss)

Password: ben
171640 different permutations
Time took: 0:00:39.681676(hh:mm:ss)

Password: yuo
24042 different permutations
Time took: 0:00:10.251887(hh:mm:ss)

Password: yuo
69658 different permutations
Time took: 0:00:22.031244(hh:mm:ss)

Password: yuo
218499 different permutations
Time took: 0:00:40.563235(hh:mm:ss)

Password: tes
8444 different permutations
Time took: 0:00:05.380021(hh:mm:ss)

Password: run
4086 different permutations
Time took: 0:00:01.575107(hh:mm:ss)

Password: ramp
281032 different permutations
Time took: 0:03:36.581050(hh:mm:ss)

Password: rd98
153237 different permutations
Time took: 0:02:00.949512(hh:mm:ss)

Password: rock1
1155111 different permutations
Time took: 0:15:22.639220(hh:mm:ss)

Password: pass1
843774 different permutations
Time took: 0:11:20.468751(hh:mm:ss)

Password: test0
20440294 different permutations
Time took: 0:23:52.558500(hh:mm:ss)

Password: ie6n0
17559787 different permutations
Time took: 0:22:15.355656(hh:mm:ss)

Password: benj1
95977134 different permutations
Time took: 1:30:38.891731(hh:mm:ss)

Password: test9
19452202 different permutations
Time took: 0:58:38.116730(hh:mm:ss)

Password: cat1
309196 different permutations
Time took: 0:00:55.944414(hh:mm:ss)

Password: so42
12683733 different permutations
Time took: 0:18:23.959491(hh:mm:ss)

Password: so42
1849041 different permutations
Time took: 0:07:16.045267(hh:mm:ss)

Password: so42
1064938 different permutations
Time took: 0:05:25.841731(hh:mm:ss)

Password: so42
434971 different permutations
Time took: 0:02:59.241128(hh:mm:ss)

Password: so42
208553 different permutations
Time took: 0:01:48.517742(hh:mm:ss)

Password: so42
59128 different permutations
Time took: 0:00:36.738015(hh:mm:ss)

Password: so42
443210 different permutations
Time took: 0:05:21.049382(hh:mm:ss)

Password: so42
237251 different permutations
Time took: 0:03:31.574482(hh:mm:ss)

Password: s042
663254 different permutations
Time took: 0:09:24.542282(hh:mm:ss)

Password: 4586
416704 different permutations
Time took: 0:06:54.350378(hh:mm:ss)

Password: test
107499 different permutations
Time took: 0:00:36.678720(hh:mm:ss)

Password: test
37697 different permutations
Time took: 0:00:11.873530(hh:mm:ss)

